numbers,bonus_ball,,,,,
9,14,40,43,45,46,23
1,2,15,19,30,33,47
6,10,11,26,28,37,33
12,13,17,24,28,49,39
8,10,18,27,32,36,24
19,25,28,32,36,46,13
1,9,33,37,48,49,41
16,22,29,35,46,49,5
1,15,24,34,37,48,14
2,9,11,13,22,39,41
2,4,19,21,32,41,12
9,17,25,29,42,43,4
10,19,22,35,39,49,2
4,7,9,30,43,44,37
20,21,25,26,32,38,36
25,28,29,37,41,48,30
4,11,12,26,30,35,6
5,8,19,31,36,37,26
1,4,12,13,27,33,16
6,8,10,13,25,27,2
8,12,14,20,25,39,7
14,15,24,46,47,48,31
16,19,35,38,42,44,20
4,9,18,30,34,39,24
4,7,14,21,34,49,18
3,16,17,22,28,34,6
18,31,34,43,48,49,35
5,19,32,35,38,41,26
5,8,18,26,27,43,42
6,14,21,32,44,48,30
8,12,14,20,25,39,7
14,15,24,46,47,48,31
16,19,35,38,42,44,20
4,9,18,30,34,39,24
4,7,14,21,34,49,18
3,16,17,22,28,34,6
18,31,34,43,48,49,35
5,19,32,35,38,41,26
5,8,18,26,27,43,42
6,14,21,32,44,48,30
13,21,24,28,31,46,17
3,16,21,28,34,46,32
22,26,36,41,44,45,14
11,22,29,35,40,45,27
6,13,17,20,42,46,4
13,15,20,27,40,44,18
3,27,29,32,33,44,24
1,2,16,28,30,42,26
1,5,21,22,36,41,3
12,26,28,33,34,36,19
3,4,10,22,32,46,29
5,6,7,20,25,28,45
2,11,23,38,45,49,4
4,8,13,31,47,49,43
5,7,20,26,29,39,21
4,17,19,30,35,45,27
17,37,38,43,47,48,33
1,14,17,19,32,43,5
6,11,12,25,30,44,14
4,9,14,16,17,30,18
3,4,10,22,32,46,29
5,6,7,20,25,28,45
2,11,23,38,45,49,4
4,8,13,31,47,49,43
5,7,20,26,29,39,21
4,17,19,30,35,45,27
17,37,38,43,47,48,33
1,14,17,19,32,43,5
6,11,12,25,30,44,14
4,9,14,16,17,30,18
9,14,43,45,47,49,30
4,16,20,23,25,42,47
5,7,14,30,33,47,16
1,11,22,27,29,42,16
13,20,27,34,38,45,42
7,22,24,29,39,42,11
6,23,30,33,34,35,7
2,6,12,14,30,40,47
3,12,35,40,41,45,11
3,21,34,43,44,48,42
9,14,43,45,47,49,30
4,16,20,23,25,42,47
5,7,14,30,33,47,16
1,11,22,27,29,42,16
13,20,27,34,38,45,42
7,22,24,29,39,42,11
6,23,30,33,34,35,7
2,6,12,14,30,40,47
3,12,35,40,41,45,11
3,21,34,43,44,48,42
2,14,17,18,32,49,29
11,14,16,28,37,44,39
1,20,21,24,44,45,3
7,9,21,25,42,47,27
3,4,10,17,24,25,6
17,26,32,34,43,48,6
7,16,23,28,33,42,38
5,8,20,40,41,46,12
6,20,22,26,36,46,38
2,7,25,29,46,47,23
2,14,17,18,32,49,29
11,14,16,28,37,44,39
1,20,21,24,44,45,3
7,9,21,25,42,47,27
3,4,10,17,24,25,6
17,26,32,34,43,48,6
7,16,23,28,33,42,38
5,8,20,40,41,46,12
6,20,22,26,36,46,38
2,7,25,29,46,47,23
3,6,9,10,17,22,18
10,12,23,27,34,42,1
3,7,30,42,46,47,21
12,18,21,28,37,41,38
3,6,25,35,44,45,10
14,18,19,31,41,42,4
1,15,18,22,41,44,13
4,7,16,23,24,31,36
5,7,23,28,32,37,21
1,2,28,33,36,41,8
3,6,9,10,17,22,18
10,12,23,27,34,42,1
3,7,30,42,46,47,21
12,18,21,28,37,41,38
3,6,25,35,44,45,10
14,18,19,31,41,42,4
1,15,18,22,41,44,13
4,7,16,23,24,31,36
5,7,23,28,32,37,21
1,2,28,33,36,41,8
1,17,29,33,44,48,45
2,7,20,28,36,40,44
10,15,30,31,35,45,44
6,8,11,12,30,32,46
9,13,25,27,30,48,17
1,4,18,39,43,47,41
4,18,20,23,31,32,49
13,17,24,32,40,43,16
2,25,26,29,32,34,28
24,33,34,38,41,48,47
1,17,29,33,44,48,45
2,7,20,28,36,40,44
10,15,30,31,35,45,44
6,8,11,12,30,32,46
9,13,25,27,30,48,17
1,4,18,39,43,47,41
4,18,20,23,31,32,49
13,17,24,32,40,43,16
2,25,26,29,32,34,28
24,33,34,38,41,48,47
17,20,27,34,46,49,40
3,17,24,39,40,43,33
6,7,18,19,31,36,27
1,9,19,38,45,48,10
10,28,31,32,39,46,45
3,23,30,35,38,46,45
10,15,22,27,34,35,45
2,14,22,28,36,47,1
2,11,19,27,38,40,17
9,20,29,30,37,43,27
14,15,20,21,35,46,2
3,18,20,28,33,48,45
15,19,27,28,35,46,7
4,18,26,29,41,45,15
3,8,13,18,29,48,41
10,29,35,36,37,49,32
9,22,32,42,43,46,33
1,12,23,32,35,47,28
2,4,21,29,41,45,8
8,20,21,25,30,32,22
14,15,20,21,35,46,2
3,18,20,28,33,48,45
15,19,27,28,35,46,7
4,18,26,29,41,45,15
3,8,13,18,29,48,41
10,29,35,36,37,49,32
9,22,32,42,43,46,33
1,12,23,32,35,47,28
2,4,21,29,41,45,8
8,20,21,25,30,32,22
3,17,24,33,34,39,5
1,2,8,14,28,48,44
5,10,11,25,36,48,16
2,4,6,7,19,33,43
1,12,33,37,41,44,21
2,6,30,31,33,42,16
1,9,10,11,33,38,7
4,11,17,25,28,35,36
24,32,35,38,46,49,15
2,7,19,22,29,40,6
3,17,24,33,34,39,5
1,2,8,14,28,48,44
5,10,11,25,36,48,16
2,4,6,7,19,33,43
1,12,33,37,41,44,21
2,6,30,31,33,42,16
1,9,10,11,33,38,7
4,11,17,25,28,35,36
24,32,35,38,46,49,15
2,7,19,22,29,40,6
1,2,4,23,35,38,29
1,2,5,7,38,47,39
2,10,17,21,33,35,38
17,19,22,34,36,39,18
8,18,27,33,47,49,28
1,15,20,34,42,49,9
20,33,36,44,48,49,7
8,14,21,25,26,44,22
1,3,9,13,14,18,23
7,21,23,25,29,48,35
1,2,4,23,35,38,29
1,2,5,7,38,47,39
2,10,17,21,33,35,38
17,19,22,34,36,39,18
8,18,27,33,47,49,28
1,15,20,34,42,49,9
20,33,36,44,48,49,7
8,14,21,25,26,44,22
1,3,9,13,14,18,23
7,21,23,25,29,48,35
8,12,31,35,39,41,18
4,26,28,38,41,47,36
1,5,11,22,33,47,9
5,8,10,26,27,30,15
12,16,41,45,48,49,7
4,8,14,17,33,49,15
2,3,7,24,26,40,15
1,17,19,31,32,36,20
12,14,16,22,33,37,39
5,9,14,23,34,48,42
8,12,31,35,39,41,18
4,26,28,38,41,47,36
1,5,11,22,33,47,9
5,8,10,26,27,30,15
12,16,41,45,48,49,7
4,8,14,17,33,49,15
2,3,7,24,26,40,15
1,17,19,31,32,36,20
12,14,16,22,33,37,39
5,9,14,23,34,48,42
11,13,18,26,29,33,6
7,10,16,18,40,46,21
10,18,19,23,34,44,24
18,20,27,28,33,34,38
4,9,10,17,30,39,11
10,26,30,40,42,46,44
4,13,20,22,28,49,11
7,13,16,25,27,35,17
2,13,18,22,27,40,23
3,4,5,9,15,23,41
11,13,18,26,29,33,6
7,10,16,18,40,46,21
10,18,19,23,34,44,24
18,20,27,28,33,34,38
4,9,10,17,30,39,11
10,26,30,40,42,46,44
4,13,20,22,28,49,11
7,13,16,25,27,35,17
2,13,18,22,27,40,23
3,4,5,9,15,23,41
18,22,30,32,36,45,31
16,18,21,37,40,45,34
10,18,20,30,33,36,39
2,12,13,18,20,43,17
5,12,19,20,22,43,13
6,14,25,31,33,49,12
9,15,33,36,39,43,38
9,23,25,34,40,44,13
1,17,22,35,38,49,6
2,8,15,26,34,44,33
18,22,30,32,36,45,31
16,18,21,37,40,45,34
10,18,20,30,33,36,39
2,12,13,18,20,43,17
5,12,19,20,22,43,13
6,14,25,31,33,49,12
9,15,33,36,39,43,38
9,23,25,34,40,44,13
1,17,22,35,38,49,6
2,8,15,26,34,44,33
20,26,29,30,37,44,13
4,10,32,33,37,46,21
3,8,19,31,42,44,20
4,5,12,14,39,44,19
9,15,19,25,29,43,13
11,18,21,31,39,40,38
1,7,8,15,32,48,13
1,10,20,21,28,41,35
9,25,35,36,41,43,8
6,16,18,21,25,42,33
20,26,29,30,37,44,13
4,10,32,33,37,46,21
3,8,19,31,42,44,20
4,5,12,14,39,44,19
9,15,19,25,29,43,13
11,18,21,31,39,40,38
1,7,8,15,32,48,13
1,10,20,21,28,41,35
9,25,35,36,41,43,8
6,16,18,21,25,42,33
8,15,20,31,34,38,7
1,13,19,24,31,46,23
3,4,23,36,42,46,41
4,10,18,29,41,48,7
1,2,3,18,39,44,32
1,2,8,21,32,42,49
2,11,15,28,30,35,48
12,26,27,34,41,49,33
5,8,29,31,37,39,44
1,4,13,17,25,47,5
17,21,36,39,42,44,9
30,31,32,37,40,45,7
1,3,4,8,23,31,16
3,14,15,20,33,43,31
3,5,21,22,33,38,14
12,13,35,36,37,42,40
10,25,39,44,47,48,2
7,10,15,18,24,48,5
11,19,27,35,36,47,29
4,23,30,43,44,45,15
22,25,26,28,39,42,8
3,4,7,37,39,45,35
1,9,17,19,38,39,45
11,16,22,24,32,33,14
8,25,28,35,46,48,38
4,13,29,32,41,42,46
2,12,15,20,26,33,14
2,3,19,33,48,49,20
17,24,29,30,35,45,19
7,13,20,28,35,48,9
22,25,26,28,39,42,8
3,4,7,37,39,45,35
1,9,17,19,38,39,45
11,16,22,24,32,33,14
8,25,28,35,46,48,38
4,13,29,32,41,42,46
2,12,15,20,26,33,14
2,3,19,33,48,49,20
17,24,29,30,35,45,19
7,13,20,28,35,48,9
17,20,22,30,42,49,48
1,9,12,18,31,39,5
1,4,5,6,11,15,21
6,11,19,33,35,48,23
6,11,22,23,30,42,31
4,6,8,9,10,30,7
2,16,17,19,28,44,13
9,11,39,43,48,49,27
16,17,18,35,40,48,11
5,29,41,45,47,49,8
17,20,22,30,42,49,48
1,9,12,18,31,39,5
1,4,5,6,11,15,21
6,11,19,33,35,48,23
6,11,22,23,30,42,31
4,6,8,9,10,30,7
2,16,17,19,28,44,13
9,11,39,43,48,49,27
16,17,18,35,40,48,11
5,29,41,45,47,49,8
8,10,18,19,25,47,31
15,20,36,37,42,47,22
4,8,27,31,33,43,2
1,2,24,37,43,49,39
11,12,23,31,32,45,35
13,20,25,34,35,38,36
6,27,28,39,44,48,5
4,25,34,37,48,49,6
1,7,16,34,36,44,37
3,9,12,15,18,26,14
8,10,18,19,25,47,31
15,20,36,37,42,47,22
4,8,27,31,33,43,2
1,2,24,37,43,49,39
11,12,23,31,32,45,35
13,20,25,34,35,38,36
6,27,28,39,44,48,5
4,25,34,37,48,49,6
1,7,16,34,36,44,37
3,9,12,15,18,26,14
4,11,21,23,37,41,35
18,36,43,45,46,49,2
3,38,41,44,45,46,36
4,15,23,28,33,35,8
2,10,19,23,36,45,8
11,14,20,31,40,44,22
13,19,23,26,30,40,33
5,19,21,33,36,44,13
9,15,17,26,30,32,45
6,10,11,20,31,39,34
4,11,21,23,37,41,35
18,36,43,45,46,49,2
3,38,41,44,45,46,36
4,15,23,28,33,35,8
2,10,19,23,36,45,8
11,14,20,31,40,44,22
13,19,23,26,30,40,33
5,19,21,33,36,44,13
9,15,17,26,30,32,45
6,10,11,20,31,39,34
17,35,42,44,45,49,12
12,15,17,33,39,45,43
3,6,7,10,20,43,26
11,13,24,31,38,43,14
1,4,7,10,22,37,9
6,15,22,27,44,46,35
9,16,18,29,33,43,1
5,6,35,41,42,48,32
3,4,11,30,31,33,44
3,29,32,38,45,49,22
12,13,32,37,38,45,47
18,32,33,34,37,49,45
15,25,27,28,32,43,48
15,22,24,31,33,45,34
4,15,16,36,38,42,1
4,7,32,35,37,44,40
13,14,15,39,42,45,2
11,15,19,32,37,48,38
9,29,34,35,40,45,20
9,24,31,33,34,36,35
12,13,32,37,38,45,47
18,32,33,34,37,49,45
15,25,27,28,32,43,48
15,22,24,31,33,45,34
4,15,16,36,38,42,1
4,7,32,35,37,44,40
13,14,15,39,42,45,2
11,15,19,32,37,48,38
9,29,34,35,40,45,20
9,24,31,33,34,36,35
3,10,20,39,44,47,41
7,9,23,24,33,43,8
4,21,29,30,33,44,9
19,23,28,47,48,49,37
13,14,25,32,42,45,49
6,12,17,21,29,45,27
6,12,29,37,39,46,23
2,3,9,20,46,48,18
8,13,30,32,34,41,37
7,15,22,24,25,47,23
3,10,20,39,44,47,41
7,9,23,24,33,43,8
4,21,29,30,33,44,9
19,23,28,47,48,49,37
13,14,25,32,42,45,49
6,12,17,21,29,45,27
6,12,29,37,39,46,23
2,3,9,20,46,48,18
8,13,30,32,34,41,37
7,15,22,24,25,47,23
14,23,33,37,39,42,17
1,7,15,34,40,43,33
1,6,21,34,38,47,41
11,17,18,29,35,36,15
12,15,17,22,38,49,2
1,2,10,24,28,29,44
2,8,9,15,27,37,38
3,9,15,22,33,48,26
4,17,18,30,33,47,5
7,15,26,29,37,38,40
14,23,33,37,39,42,17
1,7,15,34,40,43,33
1,6,21,34,38,47,41
11,17,18,29,35,36,15
12,15,17,22,38,49,2
1,2,10,24,28,29,44
2,8,9,15,27,37,38
3,9,15,22,33,48,26
4,17,18,30,33,47,5
7,15,26,29,37,38,40
5,11,22,33,41,45,38
6,7,20,25,30,34,23
2,8,28,32,35,40,33
1,13,22,24,37,45,10
30,32,34,39,42,43,38
8,9,24,29,31,44,30
7,11,24,28,33,35,2
9,11,22,25,29,42,41
13,14,28,32,33,37,10
3,4,17,24,32,43,28
5,11,22,33,41,45,38
6,7,20,25,30,34,23
2,8,28,32,35,40,33
1,13,22,24,37,45,10
30,32,34,39,42,43,38
8,9,24,29,31,44,30
7,11,24,28,33,35,2
9,11,22,25,29,42,41
13,14,28,32,33,37,10
3,4,17,24,32,43,28
8,27,28,38,40,49,3
3,8,32,39,44,45,10
2,13,22,25,29,33,26
6,10,18,27,36,44,42
14,16,18,19,28,39,43
4,6,8,9,12,49,10
1,12,20,31,34,39,41
5,11,14,23,27,47,29
12,20,22,34,37,41,8
18,25,28,33,35,48,19
8,27,28,38,40,49,3
3,8,32,39,44,45,10
2,13,22,25,29,33,26
6,10,18,27,36,44,42
14,16,18,19,28,39,43
4,6,8,9,12,49,10
1,12,20,31,34,39,41
5,11,14,23,27,47,29
12,20,22,34,37,41,8
18,25,28,33,35,48,19
19,24,28,32,34,42,7
3,15,16,20,36,49,26
8,16,18,26,31,34,9
4,5,17,31,41,46,40
9,13,15,20,23,33,16
7,13,20,28,29,37,36
1,22,28,39,40,42,10
4,10,18,36,41,45,17
9,12,26,40,43,44,3
2,8,16,18,37,47,30
19,24,28,32,34,42,7
3,15,16,20,36,49,26
8,16,18,26,31,34,9
4,5,17,31,41,46,40
9,13,15,20,23,33,16
7,13,20,28,29,37,36
1,22,28,39,40,42,10
4,10,18,36,41,45,17
9,12,26,40,43,44,3
2,8,16,18,37,47,30
19,20,21,24,29,35,38
7,9,22,27,38,44,25
5,13,19,32,44,45,23
3,16,17,19,21,29,41
4,6,8,16,18,43,29
4,8,13,29,39,40,17
29,30,34,43,45,46,23
13,21,28,29,32,33,39
13,14,16,24,28,37,35
6,8,14,17,26,42,18
19,20,21,24,29,35,38
7,9,22,27,38,44,25
5,13,19,32,44,45,23
3,16,17,19,21,29,41
4,6,8,16,18,43,29
4,8,13,29,39,40,17
29,30,34,43,45,46,23
13,21,28,29,32,33,39
13,14,16,24,28,37,35
6,8,14,17,26,42,18
9,10,11,12,31,39,41
1,31,34,36,37,43,2
7,10,18,26,32,39,35
6,8,12,23,43,46,20
5,17,23,30,36,40,45
3,18,21,25,29,45,5
9,14,25,30,35,48,31
1,3,34,35,37,48,44
3,22,23,38,40,48,30
6,7,26,32,44,49,16
9,10,11,12,31,39,41
1,31,34,36,37,43,2
7,10,18,26,32,39,35
6,8,12,23,43,46,20
5,17,23,30,36,40,45
3,18,21,25,29,45,5
9,14,25,30,35,48,31
1,3,34,35,37,48,44
3,22,23,38,40,48,30
6,7,26,32,44,49,16
1,18,23,38,39,49,8
1,4,8,9,47,49,31
6,8,14,28,31,32,39
3,6,22,23,25,31,49
3,6,19,29,44,46,18
5,11,19,30,46,48,47
1,20,23,30,36,44,6
3,10,15,38,39,42,43
4,9,35,37,38,42,47
5,9,10,24,28,44,7
1,18,23,38,39,49,8
1,4,8,9,47,49,31
6,8,14,28,31,32,39
3,6,22,23,25,31,49
3,6,19,29,44,46,18
5,11,19,30,46,48,47
1,20,23,30,36,44,6
3,10,15,38,39,42,43
4,9,35,37,38,42,47
5,9,10,24,28,44,7
7,13,14,15,19,45,16
4,15,25,31,36,48,35
8,16,20,26,45,46,43
7,9,21,36,37,39,1
2,10,20,24,39,44,35
4,13,14,19,32,43,8
1,7,26,32,46,49,33
5,11,12,25,47,48,10
3,14,17,24,32,42,23
4,18,22,31,37,38,1
2,23,27,30,39,46,35
3,9,12,16,32,43,17
4,5,33,34,36,45,19
22,27,32,35,43,47,38
2,14,18,21,32,42,31
4,9,17,19,29,43,41
17,21,33,40,43,45,10
5,14,23,33,36,37,13
2,15,30,34,39,44,29
3,10,28,34,36,49,8
2,23,27,30,39,46,35
3,9,12,16,32,43,17
4,5,33,34,36,45,19
22,27,32,35,43,47,38
2,14,18,21,32,42,31
4,9,17,19,29,43,41
17,21,33,40,43,45,10
5,14,23,33,36,37,13
2,15,30,34,39,44,29
3,10,28,34,36,49,8
21,26,37,38,40,43,42
3,5,7,26,38,39,48
11,18,23,25,36,38,48
3,4,40,42,47,49,23
6,27,35,36,38,46,13
3,5,6,17,26,37,30
2,18,21,22,32,35,29
22,24,29,35,41,47,31
21,26,35,41,46,48,3
20,26,27,33,34,46,21
21,26,37,38,40,43,42
3,5,7,26,38,39,48
11,18,23,25,36,38,48
3,4,40,42,47,49,23
6,27,35,36,38,46,13
3,5,6,17,26,37,30
2,18,21,22,32,35,29
22,24,29,35,41,47,31
21,26,35,41,46,48,3
20,26,27,33,34,46,21
11,13,28,37,40,49,29
3,5,14,38,42,48,46
3,4,7,9,15,31,47
8,19,20,30,34,39,44
5,16,34,36,37,46,42
15,19,24,25,42,44,31
5,13,31,37,38,44,17
14,26,32,36,44,46,9
22,25,27,32,36,48,2
3,10,21,24,36,38,1
11,13,28,37,40,49,29
3,5,14,38,42,48,46
3,4,7,9,15,31,47
8,19,20,30,34,39,44
5,16,34,36,37,46,42
15,19,24,25,42,44,31
5,13,31,37,38,44,17
14,26,32,36,44,46,9
22,25,27,32,36,48,2
3,10,21,24,36,38,1
2,15,19,38,44,46,10
8,18,20,36,37,45,24
1,3,6,7,12,42,46
2,19,21,29,33,45,40
1,10,12,29,46,47,38
2,16,27,34,40,42,15
13,17,19,29,38,44,15
9,11,17,30,32,33,36
5,18,27,39,40,41,30
7,10,15,31,41,43,40
2,15,19,38,44,46,10
8,18,20,36,37,45,24
1,3,6,7,12,42,46
2,19,21,29,33,45,40
1,10,12,29,46,47,38
2,16,27,34,40,42,15
13,17,19,29,38,44,15
9,11,17,30,32,33,36
5,18,27,39,40,41,30
7,10,15,31,41,43,40
7,14,23,30,32,47,41
9,10,11,24,32,49,40
1,23,25,33,44,45,24
21,24,29,34,44,46,17
17,18,30,34,38,47,31
13,19,30,31,39,41,26
5,7,8,12,28,35,32
4,9,32,37,38,39,21
3,19,23,31,46,47,17
9,17,26,29,40,49,18
7,14,23,30,32,47,41
9,10,11,24,32,49,40
1,23,25,33,44,45,24
21,24,29,34,44,46,17
17,18,30,34,38,47,31
13,19,30,31,39,41,26
5,7,8,12,28,35,32
4,9,32,37,38,39,21
3,19,23,31,46,47,17
9,17,26,29,40,49,18
3,16,21,36,42,47,14
11,14,17,19,21,31,23
9,15,23,26,34,41,21
10,13,14,31,33,49,30
5,9,24,26,27,28,29
16,17,30,43,48,49,31
10,13,21,31,38,45,41
12,14,19,27,30,48,40
12,19,27,37,41,43,49
13,19,20,24,30,37,12
3,16,21,36,42,47,14
11,14,17,19,21,31,23
9,15,23,26,34,41,21
10,13,14,31,33,49,30
5,9,24,26,27,28,29
16,17,30,43,48,49,31
10,13,21,31,38,45,41
12,14,19,27,30,48,40
12,19,27,37,41,43,49
13,19,20,24,30,37,12
7,10,32,37,38,39,17
5,19,25,29,33,46,2
6,19,21,30,38,40,29
4,6,18,24,26,48,12
13,20,24,25,37,46,18
1,19,21,27,29,44,37
6,7,23,34,40,42,4
2,3,16,30,34,47,23
9,10,12,25,43,48,5
5,8,31,35,37,42,46
5,8,28,39,42,43,3
9,11,15,34,37,47,7
3,21,22,30,41,42,7
13,24,26,37,43,46,1
2,4,9,18,46,49,31
4,11,16,20,42,44,41
5,8,10,18,30,47,35
7,8,19,22,34,49,21
22,24,26,28,36,41,39
5,16,20,40,41,45,25
4,8,13,14,16,34,25
8,15,20,33,42,45,18
6,19,29,38,39,48,47
9,17,25,27,29,48,22
4,8,11,19,23,24,48
3,21,29,32,38,46,44
5,13,30,31,37,38,22
3,17,31,33,40,49,46
19,22,35,41,42,46,12
6,11,13,19,26,27,32
4,8,13,14,16,34,25
8,15,20,33,42,45,18
6,19,29,38,39,48,47
9,17,25,27,29,48,22
4,8,11,19,23,24,48
3,21,29,32,38,46,44
5,13,30,31,37,38,22
3,17,31,33,40,49,46
19,22,35,41,42,46,12
6,11,13,19,26,27,32
5,23,35,36,38,49,2
16,20,23,31,34,36,1
6,13,16,30,37,48,17
10,12,22,38,40,44,23
3,7,11,16,17,36,8
2,3,14,16,20,44,47
24,29,30,35,40,42,37
7,23,30,36,38,44,15
16,18,20,28,32,34,12
1,8,10,16,21,37,24
10,21,34,37,41,46,40
7,9,10,20,25,34,16
2,5,20,26,39,44,31
2,3,26,30,32,37,48
6,18,22,27,31,36,10
9,15,24,35,38,39,2
5,13,15,20,22,46,41
8,11,23,25,29,42,39
4,16,22,24,36,47,9
14,15,19,37,40,45,10
10,21,34,37,41,46,40
7,9,10,20,25,34,16
2,5,20,26,39,44,31
2,3,26,30,32,37,48
6,18,22,27,31,36,10
9,15,24,35,38,39,2
5,13,15,20,22,46,41
8,11,23,25,29,42,39
4,16,22,24,36,47,9
14,15,19,37,40,45,10
7,21,23,25,32,35,12
2,25,34,41,44,46,32
2,13,15,19,38,42,41
9,11,17,23,38,43,29
3,6,22,27,28,36,24
3,5,8,28,39,48,17
24,27,31,37,38,46,2
5,8,15,18,24,46,42
1,14,15,19,28,41,24
6,12,24,32,39,41,23
5,12,22,23,37,41,36
1,4,5,7,17,36,48
6,8,31,35,39,40,21
1,5,7,23,34,45,4
8,11,30,33,43,44,9
14,20,26,35,37,47,42
12,19,31,35,38,43,22
1,15,17,20,26,39,37
7,12,29,31,41,46,25
17,18,24,25,28,36,48
5,12,22,23,37,41,36
1,4,5,7,17,36,48
6,8,31,35,39,40,21
1,5,7,23,34,45,4
8,11,30,33,43,44,9
14,20,26,35,37,47,42
12,19,31,35,38,43,22
1,15,17,20,26,39,37
7,12,29,31,41,46,25
17,18,24,25,28,36,48
2,5,31,33,34,47,6
5,18,32,38,42,48,24
17,19,23,28,30,32,45
19,21,25,30,36,45,12
1,23,29,38,42,46,21
9,10,12,28,32,45,4
22,24,25,31,32,34,49
12,13,16,27,42,43,37
4,22,27,40,44,49,19
1,23,31,35,43,48,5
2,5,31,33,34,47,6
5,18,32,38,42,48,24
17,19,23,28,30,32,45
19,21,25,30,36,45,12
1,23,29,38,42,46,21
9,10,12,28,32,45,4
22,24,25,31,32,34,49
12,13,16,27,42,43,37
4,22,27,40,44,49,19
1,23,31,35,43,48,5
1,3,21,31,46,48,35
2,5,24,29,37,40,21
26,27,34,36,41,44,22
1,19,24,28,29,39,48
5,13,15,20,27,34,7
7,8,19,24,26,37,22
1,5,27,31,44,46,18
1,2,32,35,44,45,25
9,13,22,26,38,46,8
14,19,32,33,45,46,49
1,3,21,31,46,48,35
2,5,24,29,37,40,21
26,27,34,36,41,44,22
1,19,24,28,29,39,48
5,13,15,20,27,34,7
7,8,19,24,26,37,22
1,5,27,31,44,46,18
1,2,32,35,44,45,25
9,13,22,26,38,46,8
14,19,32,33,45,46,49
4,6,19,21,24,38,33
8,9,14,17,33,40,5
19,32,42,46,48,49,4
3,10,21,22,28,42,9
4,21,22,23,26,32,27
3,4,18,24,40,46,42
6,10,12,41,43,45,16
3,22,23,26,29,45,14
10,16,33,36,37,49,6
2,12,18,26,40,48,36
4,6,19,21,24,38,33
8,9,14,17,33,40,5
19,32,42,46,48,49,4
3,10,21,22,28,42,9
4,21,22,23,26,32,27
3,4,18,24,40,46,42
6,10,12,41,43,45,16
3,22,23,26,29,45,14
10,16,33,36,37,49,6
2,12,18,26,40,48,36
8,11,23,34,37,44,12
1,13,14,21,25,29,20
2,4,12,22,45,48,14
11,25,35,43,45,47,13
9,14,17,20,23,28,48
10,25,28,31,40,43,13
9,14,18,30,31,45,24
3,4,11,18,25,27,26
8,9,18,25,27,38,42
13,22,31,35,41,47,11
8,11,23,34,37,44,12
1,13,14,21,25,29,20
2,4,12,22,45,48,14
11,25,35,43,45,47,13
9,14,17,20,23,28,48
10,25,28,31,40,43,13
9,14,18,30,31,45,24
3,4,11,18,25,27,26
8,9,18,25,27,38,42
13,22,31,35,41,47,11
17,18,24,31,45,47,7
5,15,17,39,43,45,18
1,11,13,14,22,40,26
7,8,14,16,21,26,36
4,16,17,36,42,44,20
10,12,13,32,38,46,37
12,13,20,33,35,46,27
6,21,26,35,45,47,25
10,13,14,26,39,48,12
1,7,14,21,39,41,5
17,18,24,31,45,47,7
5,15,17,39,43,45,18
1,11,13,14,22,40,26
7,8,14,16,21,26,36
4,16,17,36,42,44,20
10,12,13,32,38,46,37
12,13,20,33,35,46,27
6,21,26,35,45,47,25
10,13,14,26,39,48,12
1,7,14,21,39,41,5
6,17,20,35,36,45,22
3,7,10,20,30,33,18
5,7,8,24,26,38,42
15,20,21,29,44,45,41
3,12,22,25,31,37,47
17,26,32,34,37,49,16
4,16,20,43,45,47,15
5,28,30,34,42,46,13
9,14,26,29,34,40,8
3,4,6,22,26,48,38
6,17,20,35,36,45,22
3,7,10,20,30,33,18
5,7,8,24,26,38,42
15,20,21,29,44,45,41
3,12,22,25,31,37,47
17,26,32,34,37,49,16
4,16,20,43,45,47,15
5,28,30,34,42,46,13
9,14,26,29,34,40,8
3,4,6,22,26,48,38
3,4,5,8,32,41,2
1,6,9,38,43,45,14
2,10,16,17,41,42,27
7,9,11,18,41,42,30
1,7,11,14,15,35,43
6,7,8,11,25,42,2
5,13,29,35,42,47,44
2,12,20,22,30,37,24
24,28,32,35,42,48,14
8,18,30,34,35,38,28
3,4,5,8,32,41,2
1,6,9,38,43,45,14
2,10,16,17,41,42,27
7,9,11,18,41,42,30
1,7,11,14,15,35,43
6,7,8,11,25,42,2
5,13,29,35,42,47,44
2,12,20,22,30,37,24
24,28,32,35,42,48,14
8,18,30,34,35,38,28
2,27,33,37,40,42,24
4,25,27,31,40,47,45
3,14,16,27,34,35,48
6,11,24,46,47,48,10
5,31,33,36,41,42,32
6,16,22,30,37,45,44
1,15,20,27,35,46,16
10,11,18,22,36,38,6
2,10,14,15,30,35,27
5,9,15,21,27,42,34
2,27,33,37,40,42,24
4,25,27,31,40,47,45
3,14,16,27,34,35,48
6,11,24,46,47,48,10
5,31,33,36,41,42,32
6,16,22,30,37,45,44
1,15,20,27,35,46,16
10,11,18,22,36,38,6
2,10,14,15,30,35,27
5,9,15,21,27,42,34
2,3,22,32,33,40,43
1,7,8,15,16,25,36
12,27,32,41,43,49,1
6,12,26,29,45,49,3
6,23,26,27,29,32,46
15,21,29,30,46,47,43
7,9,20,27,41,43,4
1,2,7,22,40,41,43
5,15,17,27,45,49,24
3,17,23,28,33,34,6
2,3,22,32,33,40,43
1,7,8,15,16,25,36
12,27,32,41,43,49,1
6,12,26,29,45,49,3
6,23,26,27,29,32,46
15,21,29,30,46,47,43
7,9,20,27,41,43,4
1,2,7,22,40,41,43
